Altitude,Density
0,0.001164
1,0.001063
2,0.0009647
3,0.0008714
4,0.000785
5,0.000706
6,0.0006349
7,0.0005711
8,0.0005143
9,0.0004638
10,0.0004186
11,0.0003777
12,0.0003389
13,0.0003011
14,0.000264
15,0.000228
16,0.0001939
17,0.0001631
18,0.0001363
19,0.0001136
20,0.00009475
21,0.00007931
22,0.00006662
23,0.00005614
24,0.00004743
25,0.00004017
26,0.00003408
27,0.00002896
28,0.00002464
29,0.00002099
30,0.00001789
31,0.00001526
32,0.00001302
33,0.00001112
34,0.000009525
35,0.000008183
36,0.000007051
37,0.000006092
38,0.000005276
39,0.00000458
40,0.000003983
41,0.000003471
42,0.000003029
43,0.000002647
44,0.000002316
45,0.000002028
46,0.000001778
47,0.000001561
48,0.000001371
49,0.000001206
50,0.000001063
51,9.376E-07
52,8.282E-07
53,7.327E-07
54,6.491E-07
55,5.757E-07
56,5.112E-07
57,4.542E-07
58,4.035E-07
59,3.584E-07
60,0.000000318
61,2.819E-07
62,2.494E-07
63,2.202E-07
64,1.941E-07
65,1.706E-07
66,1.495E-07
67,1.307E-07
68,0.000000114
69,9.906E-08
70,8.585E-08
71,7.419E-08
72,6.393E-08
73,5.498E-08
74,4.708E-08
75,4.021E-08
76,3.427E-08
77,2.918E-08
78,2.483E-08
79,2.112E-08
80,1.798E-08
81,1.532E-08
82,1.306E-08
83,1.116E-08
84,9.546E-09
85,8.182E-09
86,7.026E-09
87,6.044E-09
88,5.209E-09
89,4.495E-09
90,3.883E-09
91,3.356E-09
92,2.895E-09
93,2.489E-09
94,2.129E-09
95,1.81E-09
96,1.529E-09
97,1.281E-09
98,1.066E-09
99,8.803E-10
100,7.216E-10
101,5.876E-10
102,4.762E-10
103,3.848E-10
104,3.108E-10
105,2.511E-10
106,2.032E-10
107,1.65E-10
108,1.346E-10
109,1.103E-10
110,9.103E-11
111,7.565E-11
112,6.333E-11
113,5.338E-11
114,4.529E-11
115,3.867E-11
116,3.322E-11
117,2.87E-11
118,2.494E-11
119,2.178E-11
120,1.912E-11
121,1.686E-11
122,1.494E-11
123,1.333E-11
124,1.193E-11
125,1.073E-11
126,9.699E-12
127,8.798E-12
128,8.01E-12
129,7.317E-12
130,6.705E-12
131,6.161E-12
132,5.676E-12
133,5.241E-12
134,4.851E-12
135,4.499E-12
136,4.181E-12
137,3.893E-12
138,3.63E-12
139,3.391E-12
140,3.172E-12
141,2.972E-12
142,2.788E-12
143,2.618E-12
144,2.462E-12
145,2.317E-12
146,2.184E-12
147,2.06E-12
148,1.945E-12
149,1.838E-12
150,1.739E-12
151,1.646E-12
152,1.56E-12
153,1.479E-12
154,1.403E-12
155,1.332E-12
156,1.265E-12
157,1.203E-12
158,1.144E-12
159,1.089E-12
160,1.037E-12
161,9.88E-13
162,9.419E-13
163,8.983E-13
164,8.572E-13
165,8.183E-13
166,7.815E-13
167,7.467E-13
168,7.137E-13
169,6.824E-13
170,6.528E-13
171,6.247E-13
172,5.98E-13
173,5.726E-13
174,5.485E-13
175,5.256E-13
176,5.038E-13
177,4.83E-13
178,4.632E-13
179,4.444E-13
180,4.265E-13
181,4.094E-13
182,3.93E-13
183,3.775E-13
184,3.626E-13
185,3.484E-13
186,3.348E-13
187,3.219E-13
188,3.095E-13
189,2.977E-13
190,2.863E-13
191,2.755E-13
192,2.651E-13
193,2.552E-13
194,2.457E-13
195,2.366E-13
196,2.278E-13
197,2.195E-13
198,2.114E-13
199,2.038E-13
200,1.964E-13
201,1.893E-13
202,1.825E-13
203,1.76E-13
204,1.697E-13
205,1.637E-13
206,1.579E-13
207,1.524E-13
208,1.471E-13
209,1.42E-13
210,1.37E-13
211,1.323E-13
212,1.278E-13
213,1.234E-13
214,1.192E-13
215,1.151E-13
216,1.112E-13
217,1.075E-13
218,1.039E-13
219,1.004E-13
220,9.704E-14
221,9.382E-14
222,9.071E-14
223,8.772E-14
224,8.484E-14
225,8.207E-14
226,7.939E-14
227,7.681E-14
228,7.433E-14
229,7.193E-14
230,6.962E-14
231,6.739E-14
232,6.524E-14
233,6.316E-14
234,6.116E-14
235,5.923E-14
236,5.736E-14
237,5.556E-14
238,5.382E-14
239,5.215E-14
240,5.053E-14
241,4.896E-14
242,4.745E-14
243,4.599E-14
244,4.458E-14
245,4.322E-14
246,4.19E-14
247,4.063E-14
248,3.94E-14
249,3.821E-14
250,3.706E-14
251,3.595E-14
252,3.487E-14
253,3.384E-14
254,3.283E-14
255,3.186E-14
256,3.092E-14
257,3.001E-14
258,2.913E-14
259,2.827E-14
260,2.745E-14
261,2.665E-14
262,2.588E-14
263,2.513E-14
264,2.44E-14
265,2.37E-14
266,2.302E-14
267,2.236E-14
268,2.173E-14
269,2.111E-14
270,2.051E-14
271,1.993E-14
272,1.937E-14
273,1.883E-14
274,1.83E-14
275,1.779E-14
276,1.729E-14
277,1.681E-14
278,1.634E-14
279,1.589E-14
280,1.545E-14
281,1.503E-14
282,1.462E-14
283,1.421E-14
284,1.383E-14
285,1.345E-14
286,1.309E-14
287,1.273E-14
288,1.239E-14
289,1.205E-14
290,1.173E-14
291,1.141E-14
292,1.111E-14
293,1.081E-14
294,1.052E-14
295,1.024E-14
296,9.973E-15
297,9.709E-15
298,9.453E-15
299,9.204E-15
300,8.952E-15
301,8.718E-15
302,8.49E-15
303,8.269E-15
304,8.054E-15
305,7.845E-15
306,7.642E-15
307,7.444E-15
308,7.252E-15
309,7.066E-15
310,6.884E-15
311,6.708E-15
312,6.536E-15
313,6.37E-15
314,6.207E-15
315,6.05E-15
316,5.896E-15
317,5.747E-15
318,5.602E-15
319,5.461E-15
320,5.323E-15
321,5.19E-15
322,5.059E-15
323,4.933E-15
324,4.81E-15
325,4.69E-15
326,4.573E-15
327,4.46E-15
328,4.349E-15
329,4.241E-15
330,4.137E-15
331,4.035E-15
332,3.935E-15
333,3.839E-15
334,3.744E-15
335,3.653E-15
336,3.564E-15
337,3.477E-15
338,3.392E-15
339,3.309E-15
340,3.229E-15
341,3.151E-15
342,3.074E-15
343,3E-15
344,2.928E-15
345,2.857E-15
346,2.788E-15
347,2.722E-15
348,2.656E-15
349,2.593E-15
350,2.531E-15
351,2.47E-15
352,2.411E-15
353,2.354E-15
354,2.298E-15
355,2.243E-15
356,2.19E-15
357,2.138E-15
358,2.088E-15
359,2.039E-15
360,1.991E-15
361,1.944E-15
362,1.898E-15
363,1.854E-15
364,1.81E-15
365,1.768E-15
366,1.726E-15
367,1.686E-15
368,1.647E-15
369,1.608E-15
370,1.571E-15
371,1.535E-15
372,1.499E-15
373,1.464E-15
374,1.43E-15
375,1.397E-15
376,1.365E-15
377,1.334E-15
378,1.303E-15
379,1.273E-15
380,1.244E-15
381,1.215E-15
382,1.187E-15
383,1.16E-15
384,1.134E-15
385,1.108E-15
386,1.082E-15
387,1.058E-15
388,1.034E-15
389,1.01E-15
390,9.872E-16
391,9.648E-16
392,9.429E-16
393,9.216E-16
394,9.007E-16
395,8.804E-16
396,8.605E-16
397,8.411E-16
398,8.222E-16
399,8.037E-16
400,7.857E-16
401,7.67E-16
402,7.499E-16
403,7.331E-16
404,7.167E-16
405,7.007E-16
406,6.851E-16
407,6.698E-16
408,6.549E-16
409,6.404E-16
410,6.261E-16
411,6.123E-16
412,5.987E-16
413,5.854E-16
414,5.725E-16
415,5.598E-16
416,5.475E-16
417,5.354E-16
418,5.236E-16
419,5.121E-16
420,5.008E-16
421,4.898E-16
422,4.791E-16
423,4.686E-16
424,4.583E-16
425,4.483E-16
426,4.385E-16
427,4.29E-16
428,4.196E-16
429,4.105E-16
430,4.015E-16
431,3.928E-16
432,3.843E-16
433,3.759E-16
434,3.678E-16
435,3.598E-16
436,3.52E-16
437,3.444E-16
438,3.37E-16
439,3.297E-16
440,3.226E-16
441,3.157E-16
442,3.089E-16
443,3.023E-16
444,2.958E-16
445,2.895E-16
446,2.833E-16
447,2.772E-16
448,2.713E-16
449,2.655E-16
450,2.598E-16
451,2.543E-16
452,2.489E-16
453,2.436E-16
454,2.384E-16
455,2.334E-16
456,2.284E-16
457,2.236E-16
458,2.189E-16
459,2.143E-16
460,2.097E-16
461,2.053E-16
462,2.01E-16
463,1.968E-16
464,1.927E-16
465,1.886E-16
466,1.847E-16
467,1.808E-16
468,1.77E-16
469,1.734E-16
470,1.697E-16
471,1.662E-16
472,1.628E-16
473,1.594E-16
474,1.561E-16
475,1.528E-16
476,1.497E-16
477,1.466E-16
478,1.436E-16
479,1.406E-16
480,1.377E-16
481,1.349E-16
482,1.321E-16
483,1.294E-16
484,1.268E-16
485,1.242E-16
486,1.216E-16
487,1.192E-16
488,1.167E-16
489,1.144E-16
490,1.12E-16
